GeneID;Citrus;Human;Bee;Global_Status
lcl|SDAQ01000001.1_cds_KAI3559078.1_53;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559079.1_54;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559080.1_55;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559081.1_56;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559082.1_57;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559083.1_58;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559084.1_59;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559085.1_60;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559086.1_61;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559087.1_62;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559088.1_63;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559089.1_64;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559090.1_65;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559091.1_66;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559092.1_67;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559093.1_68;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559094.1_69;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559095.1_70;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559096.1_71;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559097.1_72;SAFE;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559098.1_73;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559099.1_74;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559100.1_75;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559101.1_76;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559102.1_77;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559103.1_78;RISK;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559104.1_79;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559105.1_80;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559106.1_81;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559107.1_82;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559108.1_83;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559109.1_84;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559110.1_85;SAFE;SAFE;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559111.1_86;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559112.1_87;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559113.1_88;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559114.1_89;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559115.1_90;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559116.1_91;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559117.1_92;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559118.1_93;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559119.1_94;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559120.1_95;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559121.1_96;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559122.1_97;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559123.1_98;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559124.1_99;SAFE;SAFE;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559125.1_100;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559126.1_101;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559127.1_102;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559128.1_103;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559129.1_104;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559130.1_105;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559131.1_106;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559132.1_107;RISK;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559133.1_108;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559134.1_109;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559135.1_110;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559136.1_111;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559137.1_112;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559138.1_113;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559139.1_114;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559140.1_115;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559141.1_116;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559142.1_117;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559143.1_118;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559144.1_119;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559145.1_120;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559146.1_121;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559147.1_122;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559148.1_123;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559149.1_124;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559150.1_125;RISK;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559151.1_126;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559152.1_127;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559153.1_128;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559154.1_129;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559155.1_130;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559156.1_131;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559157.1_132;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559158.1_133;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559159.1_134;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559160.1_135;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559161.1_136;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559162.1_137;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559163.1_138;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559164.1_139;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559165.1_140;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559166.1_141;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559167.1_142;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559168.1_143;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559169.1_144;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559170.1_145;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559171.1_146;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559172.1_147;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559173.1_148;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559174.1_149;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559175.1_150;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559176.1_151;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559177.1_152;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559178.1_153;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559179.1_154;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559180.1_155;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559181.1_156;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559182.1_157;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559183.1_158;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559184.1_159;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559185.1_160;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559186.1_161;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559187.1_162;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559188.1_163;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559189.1_164;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559190.1_165;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559191.1_166;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559192.1_167;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559193.1_168;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559194.1_169;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559195.1_170;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559196.1_171;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559197.1_172;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559198.1_173;SAFE;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559199.1_174;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559200.1_175;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559201.1_176;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559202.1_177;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559203.1_178;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559204.1_179;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559205.1_180;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559206.1_181;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559207.1_182;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559208.1_183;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559209.1_184;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559210.1_185;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559211.1_186;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559212.1_187;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559213.1_188;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559214.1_189;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559215.1_190;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559216.1_191;RISK;SAFE;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559217.1_192;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559218.1_193;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559219.1_194;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559220.1_195;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559221.1_196;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559222.1_197;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559223.1_198;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559224.1_199;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559225.1_200;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559226.1_201;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559227.1_202;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559228.1_203;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559229.1_204;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559230.1_205;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559231.1_206;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559232.1_207;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559233.1_208;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559234.1_209;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559235.1_210;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559236.1_211;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559237.1_212;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559238.1_213;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559239.1_214;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559240.1_215;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559241.1_216;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559242.1_217;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559243.1_218;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559244.1_219;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559245.1_220;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559246.1_221;RISK;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559247.1_222;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559248.1_223;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559249.1_224;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559250.1_225;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559251.1_226;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559252.1_227;RISK;SAFE;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559253.1_228;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559254.1_229;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559255.1_230;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559256.1_231;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559257.1_232;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559258.1_233;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559259.1_234;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559260.1_235;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559261.1_236;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559262.1_237;RISK;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559263.1_238;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559264.1_239;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559265.1_240;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559266.1_241;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559267.1_242;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559268.1_243;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559269.1_244;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559270.1_245;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559271.1_246;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559272.1_247;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559273.1_248;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559274.1_249;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559275.1_250;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559276.1_251;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559277.1_252;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559278.1_253;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559279.1_254;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559280.1_255;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559281.1_256;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559282.1_257;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559283.1_258;RISK;SAFE;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559284.1_259;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559285.1_260;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559286.1_261;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559287.1_262;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559288.1_263;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559289.1_264;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559290.1_265;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559291.1_266;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559292.1_267;SAFE;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559293.1_268;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559294.1_269;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559295.1_270;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559296.1_271;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559297.1_272;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559298.1_273;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559299.1_274;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559300.1_275;RISK;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559301.1_276;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559302.1_277;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559303.1_278;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559304.1_279;SAFE;SAFE;SAFE;APPROVED
