================================================================================
RELATORIO DE BIOSSEGURANCA - RNAi
================================================================================
GENE ID                                  | CITRUS     | HUMAN      | BEE       
================================================================================
lcl|SDAQ01000001.1_cds_KAI3559026.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559066.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559067.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559068.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559069.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559070.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559071.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559072.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559073.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559074.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559075.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559076.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559077.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559078.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559079.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559080.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559081.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559082.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559083.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559084.1_5    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559085.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559086.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559087.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559088.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559089.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559090.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559091.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559092.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559093.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559094.1_6    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559095.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559096.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559097.1_7    | [SAFE]     | [RISK]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559098.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559099.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559100.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559101.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559102.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559103.1_7    | [RISK]     | [RISK]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559104.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559105.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559106.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559107.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559108.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559109.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559110.1_8    | [SAFE]     | [SAFE]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559111.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559112.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559113.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559114.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559115.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559116.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559117.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559118.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559119.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559120.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559121.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559122.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559123.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559124.1_9    | [SAFE]     | [SAFE]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559125.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559126.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559127.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559128.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559129.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559130.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559131.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559132.1_1    | [RISK]     | [RISK]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559133.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559134.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559135.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559136.1_1    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559137.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559138.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559139.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559140.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559141.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559142.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559143.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559144.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559145.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559146.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559147.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559148.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559149.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559150.1_1    | [RISK]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559151.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559152.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559153.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559154.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559155.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559156.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559157.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559158.1_1    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559159.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559160.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559161.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559162.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559163.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559164.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559165.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559166.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559167.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559168.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559169.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559170.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559171.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559172.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559173.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559174.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559175.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559176.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559177.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559178.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559179.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559180.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559181.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559182.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559183.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559184.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559185.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559186.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559187.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559188.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559189.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559190.1_1    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559191.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559192.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559193.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559194.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559195.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559196.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559197.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559198.1_1    | [SAFE]     | [RISK]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559199.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559200.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559201.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559202.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559203.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559204.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559205.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559206.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559207.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559208.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559209.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559210.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559211.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559212.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559213.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559214.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559215.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559216.1_1    | [RISK]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559217.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559218.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559219.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559220.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559221.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559222.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559223.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559224.1_1    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559225.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559226.1_2    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559227.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559228.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559229.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559230.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559231.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559232.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559233.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559234.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559235.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559236.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559237.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559238.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559239.1_2    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559240.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559241.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559242.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559243.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559244.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559245.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559246.1_2    | [RISK]     | [RISK]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559247.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559248.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559249.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559250.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559251.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559252.1_2    | [RISK]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559253.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559254.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559255.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559256.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559257.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559258.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559259.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559260.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559261.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559262.1_2    | [RISK]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559263.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559264.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559265.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559266.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559267.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559268.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559269.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559270.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559271.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559272.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
