CATEGORIA	ID	GC_CONTENT	DESCRICAO
PLATINUM	lcl|SDAQ01000054.1_cds_KAI3547197.1_8721	53.8	lcl|SDAQ01000054.1_cds_KAI3547197.1_8721 [locus_tag=CABS02_08724] [protein=heat shock protein] [protein_id=KAI3547197.1] [location=join(73181..73838,73899..74209,74267..74420,74474..75381)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000119.1_cds_KAI3536922.1_12399	53.3	lcl|SDAQ01000119.1_cds_KAI3536922.1_12399 [locus_tag=CABS02_12363] [protein=chitin synthase 3] [protein_id=KAI3536922.1] [location=join(138097..138115,138473..138723,138781..139813,139872..140616,140670..141387)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000083.1_cds_KAI3541544.1_10748	53.0	lcl|SDAQ01000083.1_cds_KAI3541544.1_10748 [locus_tag=CABS02_10718] [protein=heat shock factor binding protein 1] [protein_id=KAI3541544.1] [location=complement(join(104830..104918,104990..105092,105211..105252))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000011.1_cds_KAI3556708.1_3148	52.7	lcl|SDAQ01000011.1_cds_KAI3556708.1_3148 [locus_tag=CABS02_03149] [protein=polyketide synthase] [protein_id=KAI3556708.1] [location=complement(503039..504154)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000061.1_cds_KAI3545513.1_9343	52.3	lcl|SDAQ01000061.1_cds_KAI3545513.1_9343 [locus_tag=CABS02_09346] [protein=class VII chitin synthase] [protein_id=KAI3545513.1] [location=complement(join(206093..208319,208383..208549,208601..208669))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000299.1_cds_KAI3527609.1_15333	52.1	lcl|SDAQ01000299.1_cds_KAI3527609.1_15333 [locus_tag=CABS02_15337] [protein=chitin synthase export chaperone] [protein_id=KAI3527609.1] [location=complement(join(10046..10591,10651..10744,10805..10986,11077..11112,11168..11197))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000162.1_cds_KAI3532967.1_13733	52.0	lcl|SDAQ01000162.1_cds_KAI3532967.1_13733 [locus_tag=CABS02_13712] [protein=scytalone dehydratase] [protein_id=KAI3532967.1] [location=complement(join(70066..70455,70514..70611,70670..70700))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000063.1_cds_KAI3545139.1_9479	49.0	lcl|SDAQ01000063.1_cds_KAI3545139.1_9479 [locus_tag=CABS02_09482] [protein=scytalone dehydratase] [protein_id=KAI3545139.1] [location=complement(join(248999..249352,249412..249509,249582..249600))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000005.1_cds_KAI3558084.1_1756	48.5	lcl|SDAQ01000005.1_cds_KAI3558084.1_1756 [locus_tag=CABS02_01757] [protein=elongation factor 1-gamma] [protein_id=KAI3558084.1] [location=complement(join(493993..494519,494575..494812))] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559052.1_27	56.5	lcl|SDAQ01000001.1_cds_KAI3559052.1_27 [locus_tag=CABS02_00027] [protein=ochratoxin A non-ribosomal peptide synthetase] [protein_id=KAI3559052.1] [location=113358..115031] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559057.1_32	51.1	lcl|SDAQ01000001.1_cds_KAI3559057.1_32 [locus_tag=CABS02_00032] [protein=cytochrome P450] [protein_id=KAI3559057.1] [location=join(128164..128489,128558..128588,128644..128787,128869..128998,129058..129715,129778..129958)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559066.1_41	59.3	lcl|SDAQ01000001.1_cds_KAI3559066.1_41 [locus_tag=CABS02_00041] [protein=proteasome component PRE3] [protein_id=KAI3559066.1] [location=join(154697..154730,154783..154864,154982..155031,155174..155414,155517..155832)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559085.1_60	58.8	lcl|SDAQ01000001.1_cds_KAI3559085.1_60 [locus_tag=CABS02_00060] [protein=eukaryotic translation initiation factor eIF2A] [protein_id=KAI3559085.1] [location=complement(join(223569..223991,224053..225583,225680..225951))] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559115.1_90	48.8	lcl|SDAQ01000001.1_cds_KAI3559115.1_90 [locus_tag=CABS02_00090] [protein=cytochrome P450] [protein_id=KAI3559115.1] [location=complement(join(325099..326162,326216..326284,326342..326426,326486..326611,326664..326924))] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559138.1_113	51.1	lcl|SDAQ01000001.1_cds_KAI3559138.1_113 [locus_tag=CABS02_00113] [protein=thyroid receptor-interacting protein 13] [protein_id=KAI3559138.1] [location=join(398043..398168,398249..398278,398342..398435,398486..398697)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559143.1_118	55.7	lcl|SDAQ01000001.1_cds_KAI3559143.1_118 [locus_tag=CABS02_00118] [protein=cytochrome P450 oxidoreductase] [protein_id=KAI3559143.1] [location=complement(join(416063..416483,416559..416731,416815..417113,417179..417515))] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559186.1_161	56.0	lcl|SDAQ01000001.1_cds_KAI3559186.1_161 [locus_tag=CABS02_00161] [protein=proteasome component ECM29] [protein_id=KAI3559186.1] [location=join(575564..575731,575788..575834,575899..581275)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559207.1_182	52.6	lcl|SDAQ01000001.1_cds_KAI3559207.1_182 [locus_tag=CABS02_00182] [protein=cytochrome P450] [protein_id=KAI3559207.1] [location=join(661911..662105,662207..662504,662572..662688,662743..663146,663201..663222,663278..663478,663539..663930)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559217.1_192	54.0	lcl|SDAQ01000001.1_cds_KAI3559217.1_192 [locus_tag=CABS02_00192] [protein=cytochrome P450 monooxygenase] [protein_id=KAI3559217.1] [location=join(684993..685034,685086..685886,685955..686269,686338..686504,686587..686749)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559270.1_245	55.0	lcl|SDAQ01000001.1_cds_KAI3559270.1_245 [locus_tag=CABS02_00245] [protein=cytochrome P450] [protein_id=KAI3559270.1] [location=join(854641..854874,854929..855316,855372..856369)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559356.1_331	56.8	lcl|SDAQ01000001.1_cds_KAI3559356.1_331 [locus_tag=CABS02_00331] [protein=DNA polymerase family A] [protein_id=KAI3559356.1] [location=1151030..1154539] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559468.1_443	53.8	lcl|SDAQ01000001.1_cds_KAI3559468.1_443 [locus_tag=CABS02_00443] [protein=cytochrome P450 2D18] [protein_id=KAI3559468.1] [location=join(1521290..1521363,1521443..1521727,1521800..1521957,1522098..1522578,1522716..1523214)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559476.1_451	59.3	lcl|SDAQ01000001.1_cds_KAI3559476.1_451 [locus_tag=CABS02_00451] [protein=A49-like RNA polymerase I associated factor] [protein_id=KAI3559476.1] [location=complement(join(1538803..1539666,1539724..1540049,1540116..1540251))] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559506.1_481	57.6	lcl|SDAQ01000001.1_cds_KAI3559506.1_481 [locus_tag=CABS02_00481] [protein=60S ribosomal protein L7] [protein_id=KAI3559506.1] [location=complement(join(1629125..1629751,1629941..1630030,1630089..1630142))] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559563.1_538	52.1	lcl|SDAQ01000001.1_cds_KAI3559563.1_538 [locus_tag=CABS02_00538] [protein=cytochrome P450 monooxygenase] [protein_id=KAI3559563.1] [location=complement(1857861..1859540)] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559631.1_606	55.3	lcl|SDAQ01000001.1_cds_KAI3559631.1_606 [locus_tag=CABS02_00606] [protein=cytochrome P450 4V3] [protein_id=KAI3559631.1] [location=complement(join(2092586..2092709,2092782..2094190,2094239..2094388))] [gbkey=CDS]
GOLD	lcl|SDAQ01000001.1_cds_KAI3559658.1_633	54.1	lcl|SDAQ01000001.1_cds_KAI3559658.1_633 [locus_tag=CABS02_00633] [protein=cytochrome P450 monooxygenase] [protein_id=KAI3559658.1] [location=join(2169989..2170954,2171019..2171732)] [gbkey=CDS]
GOLD	lcl|SDAQ01000002.1_cds_KAI3558719.1_759	54.2	lcl|SDAQ01000002.1_cds_KAI3558719.1_759 [locus_tag=CABS02_00759] [protein=26S proteasome non-ATPase regulatory subunit 9] [protein_id=KAI3558719.1] [location=complement(join(12453..12580,12634..12969,13019..13091,13172..13342))] [gbkey=CDS]
GOLD	lcl|SDAQ01000002.1_cds_KAI3558725.1_765	57.8	lcl|SDAQ01000002.1_cds_KAI3558725.1_765 [locus_tag=CABS02_00765] [protein=ubiquitin family protein] [protein_id=KAI3558725.1] [location=complement(join(30857..30919,30985..31224))] [gbkey=CDS]
GOLD	lcl|SDAQ01000002.1_cds_KAI3558911.1_951	52.3	lcl|SDAQ01000002.1_cds_KAI3558911.1_951 [locus_tag=CABS02_00951] [protein=cytochrome P450] [protein_id=KAI3558911.1] [location=complement(join(672237..672750,672789..673915))] [gbkey=CDS]
GOLD	lcl|SDAQ01000002.1_cds_KAI3558936.1_976	57.0	lcl|SDAQ01000002.1_cds_KAI3558936.1_976 [locus_tag=CABS02_00976] [protein=cytochrome P450] [protein_id=KAI3558936.1] [location=complement(join(739483..739648,739708..740382,740448..740804,740871..740991,741049..741307))] [gbkey=CDS]
GOLD	lcl|SDAQ01000003.1_cds_KAI3558492.1_1107	58.8	lcl|SDAQ01000003.1_cds_KAI3558492.1_1107 [locus_tag=CABS02_01107] [protein=ubiquitin-conjugating enzyme E2-16 kDa] [protein_id=KAI3558492.1] [location=complement(join(150433..150572,150632..150815,150946..150975,151111..151156,151371..151414))] [gbkey=CDS]
GOLD	lcl|SDAQ01000003.1_cds_KAI3558589.1_1204	49.6	lcl|SDAQ01000003.1_cds_KAI3558589.1_1204 [locus_tag=CABS02_01204] [protein=cytochrome P450 2D18] [protein_id=KAI3558589.1] [location=complement(join(492270..492774,492845..493362,493470..493605,493674..493958,494011..494201))] [gbkey=CDS]
GOLD	lcl|SDAQ01000003.1_cds_KAI3558618.1_1233	53.2	lcl|SDAQ01000003.1_cds_KAI3558618.1_1233 [locus_tag=CABS02_01233] [protein=benzoate 4-monooxygenase cytochrome P450] [protein_id=KAI3558618.1] [location=complement(join(580254..580444,580513..580614,580711..581006,581078..581537,581613..582243))] [gbkey=CDS]
GOLD	lcl|SDAQ01000003.1_cds_KAI3558654.1_1269	59.6	lcl|SDAQ01000003.1_cds_KAI3558654.1_1269 [locus_tag=CABS02_01270] [protein=cytochrome P450 55A1] [protein_id=KAI3558654.1] [location=join(705962..706150,706256..706519,706621..706733,706819..707002,707118..707276,707381..707570,707747..707859)] [gbkey=CDS]
GOLD	lcl|SDAQ01000003.1_cds_KAI3558657.1_1272	59.2	lcl|SDAQ01000003.1_cds_KAI3558657.1_1272 [locus_tag=CABS02_01273] [protein=ubiquitin-40S ribosomal protein S27a] [protein_id=KAI3558657.1] [location=join(711486..711863,711917..712006)] [gbkey=CDS]
GOLD	lcl|SDAQ01000004.1_cds_KAI3558217.1_1363	58.0	lcl|SDAQ01000004.1_cds_KAI3558217.1_1363 [locus_tag=CABS02_01364] [protein=40S ribosomal protein S23] [protein_id=KAI3558217.1] [location=complement(join(129281..129459,129599..129845))] [gbkey=CDS]
GOLD	lcl|SDAQ01000004.1_cds_KAI3558250.1_1396	58.3	lcl|SDAQ01000004.1_cds_KAI3558250.1_1396 [locus_tag=CABS02_01397] [protein=ATP synthase F1] [protein_id=KAI3558250.1] [location=complement(join(235083..235774,235828..236382,236439..236481,236559..236644,236722..236743,236818..236959,237040..237050))] [gbkey=CDS]
GOLD	lcl|SDAQ01000004.1_cds_KAI3558261.1_1407	53.1	lcl|SDAQ01000004.1_cds_KAI3558261.1_1407 [locus_tag=CABS02_01408] [protein=RNA polymerase III subunit RPC82] [protein_id=KAI3558261.1] [location=join(275401..275409,275469..275531,275638..276387,276448..277599)] [gbkey=CDS]
GOLD	lcl|SDAQ01000004.1_cds_KAI3558316.1_1462	54.7	lcl|SDAQ01000004.1_cds_KAI3558316.1_1462 [locus_tag=CABS02_01463] [protein=RNA polymerase II holoenzyme cyclin-like subunit] [protein_id=KAI3558316.1] [location=complement(join(451029..451822,451882..452041))] [gbkey=CDS]
GOLD	lcl|SDAQ01000005.1_cds_KAI3558023.1_1695	50.3	lcl|SDAQ01000005.1_cds_KAI3558023.1_1695 [locus_tag=CABS02_01696] [protein=N-alkane-inducible cytochrome P450] [protein_id=KAI3558023.1] [location=complement(join(321033..321454,321522..322059,322129..322689))] [gbkey=CDS]
GOLD	lcl|SDAQ01000005.1_cds_KAI3558076.1_1748	53.3	lcl|SDAQ01000005.1_cds_KAI3558076.1_1748 [locus_tag=CABS02_01749] [protein=cytochrome P450] [protein_id=KAI3558076.1] [location=complement(join(473586..473630,473684..474081,474136..474302,474364..474871,474934..475018,475070..475576))] [gbkey=CDS]
GOLD	lcl|SDAQ01000006.1_cds_KAI3557780.1_1961	49.4	lcl|SDAQ01000006.1_cds_KAI3557780.1_1961 [locus_tag=CABS02_01962] [protein=cytochrome P450] [protein_id=KAI3557780.1] [location=join(350696..350764,350813..351293,351348..351646,351775..352062,352137..352463)] [gbkey=CDS]
GOLD	lcl|SDAQ01000006.1_cds_KAI3557835.1_2016	53.0	lcl|SDAQ01000006.1_cds_KAI3557835.1_2016 [locus_tag=CABS02_02017] [protein=cytochrome P450] [protein_id=KAI3557835.1] [location=join(505260..505721,505784..507049)] [gbkey=CDS]
GOLD	lcl|SDAQ01000006.1_cds_KAI3557915.1_2096	50.2	lcl|SDAQ01000006.1_cds_KAI3557915.1_2096 [locus_tag=CABS02_02097] [protein=cytochrome P450 3A17] [protein_id=KAI3557915.1] [location=complement(join(734696..735628,735703..736233,736284..736379))] [gbkey=CDS]
GOLD	lcl|SDAQ01000007.1_cds_KAI3557476.1_2134	54.1	lcl|SDAQ01000007.1_cds_KAI3557476.1_2134 [locus_tag=CABS02_02135] [protein=cytochrome P450] [protein_id=KAI3557476.1] [location=complement(join(77584..77749,77800..78916,78979..79210,79267..79296))] [gbkey=CDS]
GOLD	lcl|SDAQ01000007.1_cds_KAI3557513.1_2171	54.0	lcl|SDAQ01000007.1_cds_KAI3557513.1_2171 [locus_tag=CABS02_02172] [protein=ATP synthase F0] [protein_id=KAI3557513.1] [location=join(176853..177195,177252..177365,177416..177548,177601..178027,178064..178304,178389..178672)] [gbkey=CDS]
GOLD	lcl|SDAQ01000007.1_cds_KAI3557557.1_2215	52.2	lcl|SDAQ01000007.1_cds_KAI3557557.1_2215 [locus_tag=CABS02_02216] [protein=30S ribosomal protein S13p/S18e] [protein_id=KAI3557557.1] [location=join(306249..306251,306308..306352,306438..306749)] [gbkey=CDS]
GOLD	lcl|SDAQ01000007.1_cds_KAI3557592.1_2250	55.6	lcl|SDAQ01000007.1_cds_KAI3557592.1_2250 [locus_tag=CABS02_02251] [protein=ribosomal protein S9/S16] [protein_id=KAI3557592.1] [location=join(392705..393551,393614..393705)] [gbkey=CDS]
GOLD	lcl|SDAQ01000007.1_cds_KAI3557647.1_2305	55.6	lcl|SDAQ01000007.1_cds_KAI3557647.1_2305 [locus_tag=CABS02_02306] [protein=ubiquitin-conjugating enzyme] [protein_id=KAI3557647.1] [location=complement(join(580571..581204,581286..581583,581661..581709))] [gbkey=CDS]
GOLD	lcl|SDAQ01000007.1_cds_KAI3557664.1_2322	58.0	lcl|SDAQ01000007.1_cds_KAI3557664.1_2322 [locus_tag=CABS02_02323] [protein=ribosomal S3Ae family protein] [protein_id=KAI3557664.1] [location=join(628100..628113,628222..628306,628391..628416,628534..629035,629098..629241)] [gbkey=CDS]
GOLD	lcl|SDAQ01000008.1_cds_KAI3557269.1_2372	58.2	lcl|SDAQ01000008.1_cds_KAI3557269.1_2372 [locus_tag=CABS02_02373] [protein=cytochrome P450] [protein_id=KAI3557269.1] [location=join(133899..135011,135070..135588)] [gbkey=CDS]
GOLD	lcl|SDAQ01000008.1_cds_KAI3557271.1_2374	52.8	lcl|SDAQ01000008.1_cds_KAI3557271.1_2374 [locus_tag=CABS02_02375] [protein=benzoate 4-monooxygenase cytochrome P450] [protein_id=KAI3557271.1] [location=complement(join(143552..144329,144387..144564,144625..145020,145080..145149,145203..145295,145359..145424))] [gbkey=CDS]
GOLD	lcl|SDAQ01000008.1_cds_KAI3557331.1_2434	49.8	lcl|SDAQ01000008.1_cds_KAI3557331.1_2434 [locus_tag=CABS02_02435] [protein=benzoate 4-monooxygenase cytochrome P450] [protein_id=KAI3557331.1] [location=join(316047..316876,316950..317013,317081..317314,317387..317707,317767..317844)] [gbkey=CDS]
GOLD	lcl|SDAQ01000008.1_cds_KAI3557411.1_2514	55.1	lcl|SDAQ01000008.1_cds_KAI3557411.1_2514 [locus_tag=CABS02_02515] [protein=tuftelin interacting protein 11] [protein_id=KAI3557411.1] [location=complement(587297..589675)] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557010.1_2560	49.8	lcl|SDAQ01000009.1_cds_KAI3557010.1_2560 [locus_tag=CABS02_02561] [protein=cytochrome P450 monooxygenase] [protein_id=KAI3557010.1] [location=complement(join(30116..30868,30922..31485,31546..32034))] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557011.1_2561	51.6	lcl|SDAQ01000009.1_cds_KAI3557011.1_2561 [locus_tag=CABS02_02562] [protein=cytochrome P450 monooxygenase] [protein_id=KAI3557011.1] [location=complement(join(32685..33132,33189..33677,33711..33976))] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557013.1_2563	50.1	lcl|SDAQ01000009.1_cds_KAI3557013.1_2563 [locus_tag=CABS02_02564] [protein=cytochrome P450] [protein_id=KAI3557013.1] [location=join(36851..37246,37310..37412,37600..38208,38270..38691)] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557068.1_2618	57.7	lcl|SDAQ01000009.1_cds_KAI3557068.1_2618 [locus_tag=CABS02_02619] [protein=ATP synthase F0] [protein_id=KAI3557068.1] [location=complement(join(201743..202448,202515..202772,202837..202910))] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557100.1_2650	51.8	lcl|SDAQ01000009.1_cds_KAI3557100.1_2650 [locus_tag=CABS02_02651] [protein=cytochrome P450 oxidoreductase] [protein_id=KAI3557100.1] [location=join(305828..306026,306086..307086,307156..307293,307371..307577)] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557143.1_2693	52.6	lcl|SDAQ01000009.1_cds_KAI3557143.1_2693 [locus_tag=CABS02_02694] [protein=cytochrome P450 ClCP1] [protein_id=KAI3557143.1] [location=complement(join(415050..415129,415183..415575,415770..415984,416290..416400,416454..416620,416677..416991,417059..417862,417917..417967))] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557160.1_2710	49.7	lcl|SDAQ01000009.1_cds_KAI3557160.1_2710 [locus_tag=CABS02_02711] [protein=cytochrome P450 3A19] [protein_id=KAI3557160.1] [location=join(471368..471391,471578..471647,471705..472103,472167..472338,472393..472503,472568..472742)] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557186.1_2736	52.2	lcl|SDAQ01000009.1_cds_KAI3557186.1_2736 [locus_tag=CABS02_02737] [protein=cytochrome P450] [protein_id=KAI3557186.1] [location=join(552057..553115,553185..553886)] [gbkey=CDS]
GOLD	lcl|SDAQ01000009.1_cds_KAI3557195.1_2745	56.2	lcl|SDAQ01000009.1_cds_KAI3557195.1_2745 [locus_tag=CABS02_02746] [protein=cytochrome P450 52A11] [protein_id=KAI3557195.1] [location=join(575364..575613,575739..575959,576029..576215,576272..576793,576856..577301,577367..577438)] [gbkey=CDS]
GOLD	lcl|SDAQ01000010.1_cds_KAI3556915.1_2921	59.1	lcl|SDAQ01000010.1_cds_KAI3556915.1_2921 [locus_tag=CABS02_02922] [protein=PI31 proteasome regulator] [protein_id=KAI3556915.1] [location=458817..460013] [gbkey=CDS]
GOLD	lcl|SDAQ01000010.1_cds_KAI3556934.1_2940	53.5	lcl|SDAQ01000010.1_cds_KAI3556934.1_2940 [locus_tag=CABS02_02941] [protein=ubiquitin-conjugating enzyme] [protein_id=KAI3556934.1] [location=join(506865..507415,507531..507981,508031..508460,508537..509813)] [gbkey=CDS]
GOLD	lcl|SDAQ01000010.1_cds_KAI3556949.1_2955	53.5	lcl|SDAQ01000010.1_cds_KAI3556949.1_2955 [locus_tag=CABS02_02956] [protein=cytochrome P450] [protein_id=KAI3556949.1] [location=join(555115..555498,555521..556436,556496..556818)] [gbkey=CDS]
GOLD	lcl|SDAQ01000010.1_cds_KAI3556954.1_2960	57.8	lcl|SDAQ01000010.1_cds_KAI3556954.1_2960 [locus_tag=CABS02_02961] [protein=cytochrome P450] [protein_id=KAI3556954.1] [location=complement(join(570632..570877,570972..571115,571212..571263,571875..571963,572029..573033,573107..573306,573464..573671))] [gbkey=CDS]
GOLD	lcl|SDAQ01000011.1_cds_KAI3556572.1_3012	59.3	lcl|SDAQ01000011.1_cds_KAI3556572.1_3012 [locus_tag=CABS02_03013] [protein=tubulin-specific chaperone Rbl2] [protein_id=KAI3556572.1] [location=complement(join(21419..21616,21730..21909))] [gbkey=CDS]
GOLD	lcl|SDAQ01000011.1_cds_KAI3556586.1_3026	55.4	lcl|SDAQ01000011.1_cds_KAI3556586.1_3026 [locus_tag=CABS02_03027] [protein=RNA polymerase I specific transcription initiation factor RRN3] [protein_id=KAI3556586.1] [location=complement(75133..77193)] [gbkey=CDS]
GOLD	lcl|SDAQ01000011.1_cds_KAI3556655.1_3095	55.4	lcl|SDAQ01000011.1_cds_KAI3556655.1_3095 [locus_tag=CABS02_03096] [protein=cytochrome P450] [protein_id=KAI3556655.1] [location=complement(join(334160..334492,334562..334876,334981..335760,335850..335924))] [gbkey=CDS]
GOLD	lcl|SDAQ01000011.1_cds_KAI3556712.1_3152	50.0	lcl|SDAQ01000011.1_cds_KAI3556712.1_3152 [locus_tag=CABS02_03153] [protein=cytochrome P450] [protein_id=KAI3556712.1] [location=join(515323..515706,515774..516005,516071..516664,516759..517183)] [gbkey=CDS]
GOLD	lcl|SDAQ01000011.1_cds_KAI3556733.1_3173	54.0	lcl|SDAQ01000011.1_cds_KAI3556733.1_3173 [locus_tag=CABS02_03174] [protein=ubiquitin-conjugating enzyme] [protein_id=KAI3556733.1] [location=join(586491..586751,586852..587123,587209..587383)] [gbkey=CDS]
GOLD	lcl|SDAQ01000011.1_cds_KAI3556762.1_3202	50.5	lcl|SDAQ01000011.1_cds_KAI3556762.1_3202 [locus_tag=CABS02_03203] [protein=cytochrome P450 oxidoreductase] [protein_id=KAI3556762.1] [location=664847..666409] [gbkey=CDS]
GOLD	lcl|SDAQ01000011.1_cds_KAI3556769.1_3209	52.3	lcl|SDAQ01000011.1_cds_KAI3556769.1_3209 [locus_tag=CABS02_03210] [protein=cytochrome P450] [protein_id=KAI3556769.1] [location=complement(join(682845..683008,684035..684065))] [gbkey=CDS]
GOLD	lcl|SDAQ01000012.1_cds_KAI3556374.1_3233	48.1	lcl|SDAQ01000012.1_cds_KAI3556374.1_3233 [locus_tag=CABS02_03234] [protein=cytochrome P450] [protein_id=KAI3556374.1] [location=join(70275..70337,70398..70542,70606..70756,70818..70999,71052..71158,71236..71322,71369..71758,71824..72002,72054..72264)] [gbkey=CDS]
GOLD	lcl|SDAQ01000012.1_cds_KAI3556468.1_3327	56.2	lcl|SDAQ01000012.1_cds_KAI3556468.1_3327 [locus_tag=CABS02_03328] [protein=cytochrome P450] [protein_id=KAI3556468.1] [location=join(366834..367040,367103..367400,367483..367596,367692..368740)] [gbkey=CDS]
GOLD	lcl|SDAQ01000013.1_cds_KAI3556183.1_3465	55.1	lcl|SDAQ01000013.1_cds_KAI3556183.1_3465 [locus_tag=CABS02_03466] [protein=cytochrome P450] [protein_id=KAI3556183.1] [location=complement(join(141169..141972,142075..142325,142441..142592,142676..142817,142884..143088))] [gbkey=CDS]
